family,storage_physiology,seed_longevity,seed_banking_rank,seed_banking_notes
Acanthaceae,Mostly orthodox,Medium,3,Many tropical herbs; orthodox seeds manageable
Achariaceae,Likely orthodox,Medium,3,Minor family; likely storable
Achatocarpaceae,Orthodox (few spp.),Medium,3,"Data-limited, but likely suitable"
Acoraceae,Orthodox,Medium,3,Easy but not agriculturally critical
Actinidiaceae,Intermediate/recalcitrant (kiwifruit seeds orthodox),Medium,3,Cultivated kiwi is storable; wild spp. variable
Aizoaceae,Orthodox,High,5,Succulent herbs; drought-adapted
Alismataceae,Recalcitrant/intermediate,Low,1,Poor for seed banking
Alseuosmiaceae,Likely recalcitrant,Low,1,"Rainforest shrubs, not suited"
Alstroemeriaceae,Orthodox,Medium,3,"Ornamental, manageable with pretreatment"
Altingiaceae,Orthodox,High,4,Easy to dry/store
Amaranthaceae,Orthodox,High,5,"Important crops (amaranth, quinoa, spinach)"
Amaryllidaceae,"Mostly orthodox (onions, garlic, leeks)",Medium,4,Well-known crop family
Amphorogynaceae,Limited data,Medium,3,"Insufficient info, assume manageable"
Anacampserotaceae,Orthodox,High,5,Desert-adapted; highly suitable
Anacardiaceae,"Mostly recalcitrant/intermediate (mango, cashew)",Low,2,Poor candidates
Ancistrocladaceae,Likely recalcitrant,Low,1,Unsuitable
Anisophylleaceae,Likely recalcitrant,Low,1,Not good candidates
Annonaceae,"Recalcitrant (custard apple, soursop)",Low,1,Unsuitable
Aphloiaceae,Limited data,Medium,3,"Data-poor, but likely manageable"
Apiaceae,Orthodox,High,5,"Carrots, parsley, celery; highly suitable"
Apocynaceae,"Mixed; many orthodox, some recalcitrant",Medium,3,Many species manageable
Aponogetonaceae,Recalcitrant,Low,1,Unsuitable for banking
Aptandraceae,Likely recalcitrant,Low,1,Poor for storage
Aquifoliaceae,Recalcitrant (many hollies),Low,2,Not good for seed banking
Araceae,"Mostly recalcitrant (aroids, taro)",Low,1,Poor storage
Araliaceae,"Recalcitrant/intermediate (ginseng, ivy)",Low–Medium,2,Limited suitability
Arecaceae,Mostly recalcitrant (palms),Low,1,Not suitable
Aristolochiaceae,Likely orthodox,Medium,3,Limited but manageable
Asparagaceae,"Mixed, many orthodox (asparagus, ornamentals)",Medium,3,Moderate suitability
Asphodelaceae,"Mostly orthodox (aloe, etc.)",High,4,"Succulent family, generally storable"
Asteliaceae,Likely orthodox,Medium,3,"Limited info, manageable"
Asteraceae,Orthodox,High,5,"Major family (lettuce, sunflower); excellent"
Atherospermataceae,Likely orthodox,Medium,3,"Temperate rainforest trees, moderate suitability"
Balanophoraceae,"Parasitic plants, no orthodox seeds",,1,Unsuitable
Balsaminaceae,"Recalcitrant (Impatiens, touch-me-not)",Low,1,Poor seed banking
Basellaceae,Recalcitrant (Malabar spinach),Low,1,Not suitable
Bataceae,Orthodox,High,4,"Halophytes, small orthodox seeds"
Begoniaceae,Orthodox,High,4,Very small seeds but storable
Berberidaceae,Mostly orthodox,Medium,3,Many temperate shrubs; usable
Betulaceae,Orthodox,High,4,"Birch, hazel, alder; good long-term"
Biebersteiniaceae,Limited data,Medium,3,"Minor family, manageable"
Bignoniaceae,Orthodox,Medium–High,4,"Ornamentals, trees; easy to dry/store"
Bixaceae,Orthodox,Medium,4,"Annatto seeds, manageable"
Bonnetiaceae,Likely recalcitrant,Low,1,Poor candidates
Boraginaceae,Orthodox,High,5,"Highly suitable; mostly orthodox seeds, easy to dry/store"
Brassicaceae,Orthodox,High,5,"Highly suitable; mostly orthodox seeds, easy to dry/store"
Bromeliaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived; poor for seed banking
Brunelliaceae,Variable,Low-Medium,2,Limited data; assumed low to moderate suitability
Bruniaceae,Variable,Low-Medium,2,Limited data; assumed low to moderate suitability
Burseraceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived; poor for seed banking
Butomaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived; poor for seed banking
Buxaceae,Variable,Low-Medium,2,Limited data; assumed low to moderate suitability
